브랜드,이름,성별,TPO,계절감,향의농도,특성,,,,0,시향지 받은 목록,딥디크,1,,,성별,,,,,,,,,,
1,롬브로단로EDP,중성,"캐쥬얼,포멀",사계절,무거운,"플로럴,그린,우디,얼씨,프루티",,,,1,,조말론,2,,남자1,여자2,중성3,,,,,,,,,
1,필로시코스EDP,여성,캐쥬얼,"봄,여름",가벼운,"그린,프레쉬,우디,얼씨,프루티",,,,2,,바이레도,3,,,,,,,,,,,,,
1,베티베리오EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,시트러스,얼씨,그린,플로럴",,,,3,,이솝,4,,,TPO,,,,,,,,,,
1,도손EDP,중성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"프레쉬,파우더리,머스크,그린,플로럴",,,,4,,톰포드,5,,캐쥬얼1,포멀2,"캐쥬얼,포멀3",,,,,,,,,
1,도손EDT,여성,캐쥬얼,사계절,중간,"프레쉬,파우더리,머스크,그린,플로럴",,,,5,,프레데릭말,6,,,,,,,,,,,,,
1,탐다오EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,파우더리,머스크,그린,스파이시",,,,6,,퍼퓸드말리,7,,,,,,,,,,,,,
1,생제르망34번가EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,파우더리,스파이시,플로럴,앰버",,,,7,,조보이,8,,,,,,,,,,,,,
1,플레르드뽀EDP,중성,캐쥬얼,"봄,가을,겨울",중간,"머스크,파우더리,프레쉬,앰버,우디",,,,8,*,제로보암,9,,"'봄,여름': 1",,,계절감,,,,,,,,
1,오로즈EDP,여성,"캐쥬얼,포멀","봄,여름",가벼운,"로즈,플로럴,프루티,머스크,그린",,,,9,*,오케스트라퍼퓸,10,,,"'봄,가을': 2",,,,,,,,,,
1,볼류트EDP,중성,포멀,"가을,겨울",무거운,"타바코,파우더리,스파이시,얼씨,앰버",,,,10,*,이니시오,11,,,,"'봄,여름,가을': 3",,,,,,,,,
1,오드민떼EDP,중성,"캐쥬얼,포멀","봄,여름",중간,"프레쉬,민트,그린,로즈,우디",,,,11,*,메모,12,,,,,"'봄,가을,겨울':4",,,,,,,,
1,오르페옹EDP,중성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"파우더리,우디,아로마틱,플로럴,바닐라",,,,12,*,알마프,13,,,,,,"'여름,가을,겨울':5",,,,,,,
2,라임바질앤만다린EDC,여성,캐쥬얼,"봄,여름",가벼운,"프레쉬,시트러스,그린,우디,얼씨",,,,13,*,아프난,14,,,,,,,"'가을,겨울':6",,,,,,
2,벨벳로즈앤오우드EDC,중성,포멀,"가을,겨울",무거운,"우디,플로럴,스파이시,파우더리,앰버",,,,14,*,크리드,15,,,,,,,,'사계절':7,,,,,
2,우드세이지앤씨솔트EDC,중성,캐쥬얼,"봄,여름",가벼운,"아로마틱,마린,시트러스,머스크,워터리",,,,15,,나소마토,16,,,,향의농도,,,,,,,,,
2,피오니앤블러쉬EDC,여성,캐쥬얼,"봄,여름",가벼운,"플로럴,로즈,프레쉬,레더,프루티",,,,16,,산타마리아노벨라,17,,,가벼운1,무거운2,중간3,,,,,,,,
2,잉글리쉬오크앤헤이즐넛EDC,중성,캐쥬얼,"봄,가을,겨울",중간,"우디,너티,프랄린,머스크,앰버",,,,17,*,디올,18,,,,,,,,,,,,,
2,와일드블루벨EDC,여성,캐쥬얼,"봄,여름",가벼운,"플로럴,프레쉬,그린,머스크,로즈",,,,18,*,샤넬,19,,,,"6,3,3,6,2,[3,4,15,18,19]",,,,,,,,,
2,잉글리쉬페어앤프리지아EDC,여성,캐쥬얼,"봄,여름",가벼운,"플로럴,프루티,로즈,워터리,프레쉬",,,,19,*,자라,20,,,,,,,,,,,,,
2,다크앰버앤진저릴리EDC,중성,포멀,"봄,가을,겨울",중간,"스파이시,앰버,우디,플로럴,파우더리",,,,20,*,에따리브르도랑쥬,21,,특성1,특성2,특성3,특성4,특성5,특성6,특성7,,,,,
3,발다프리크EDP,중성,캐쥬얼,"봄,여름,가을",중간,"시트러스,우디,플로럴,스파이시,프루티",,,,21,*,모스키노,22,,플로럴,그린,우디,얼씨,프루티,프레쉬,시트러스,,,,,
3,블랙샤프란EDP,중성,포멀,"봄,가을,겨울",무거운,"프루티,레더,우디,스파이시,파우더리",,,,22,,아이젠버그,23,,꽃향기,풀내음,나무내음,신선한 흙내음,과일향,"신선한 향, 깨끗한 향",상큼한향,,,,,
3,모하비고스트EDP,중성,캐쥬얼,"봄,여름,가을",무거운,"플로럴,우디,파우더리,프루티,앰버",,,,23,*,메종마르지엘라,24,,,,,,,,,,,,,
3,선데이코롱EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,프레쉬,아로마틱,스파이시,우디",,,,24,*,밀러해리스,25,,,,,,,,,,,,,
3,오픈스카이EDP,중성,캐쥬얼,"봄,여름",중간,"아로마틱,시트러스,우디,프레쉬,그린",,,,25,*,아쿠아디파르마,26,,특성8,특성9,특성10,특성11,특성12,특성13,특성14,,,,,
3,아이즈클로즈드EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"스파이시,파우더리,플로럴,우디,얼씨",,,,26,*,쇼파드,27,,머스크,파우더리,민트,부지,마린,코코넛,스파이시,,,,,
3,집시워터EDP,중성,"캐쥬얼,포멀","봄,여름,가을",중간,"우디,아로마틱,스파이시,시트러스,파우더리",,,,27,*,르라보,28,,포근한향,화장품 파우더,청량한 민트향,술향,시원한 바다향,코코넛향,코끝이 살짝 매운,,,,,
3,비블리오티크EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"프루티,레더,파우더리,플로럴,얼씨",,,,28,*,티지아나테렌지,29,,,,,,,,,,,,,
3,셀리어PARFUM,남성,"캐쥬얼,포멀","가을,겨울",무거운,"레더,우디,스모키,타바코,머스크",,,,29,*,메종프란시스커정,30,,,,,,,,,,,,,
3,카사블랑카릴리PARFUM,여성,"캐쥬얼,포멀",사계절,무거운,"플로럴,프루티,우디,머스크,앰버",,,,30,*,메종크리벨리,31,,특성15,특성16,특성17,특성18,특성19,특성20,특성21,,,,,
4,휠EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,그린,스파이시,앰버,얼씨",,,,31,,킬리안,32,,앰버,레더,아로마틱,로즈,스모키,타바코,바닐라,,,,,
4,테싯EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,그린,스파이시,프레쉬",,,,32,*,라리크,33,,따뜻한 느낌,"가죽, 탄 내음","이국적인 풀내음(예. 미나리, 쑥 같은 향이 있는 풀내음)",장미향,매캐한 향,"마른 낙엽에서 날 듯한 브라운색이 떠오르는 향, 가을향","바닐라향, 부드럽고 달콤함",,,,,
4,이더시스EDP,중성,캐쥬얼,"가을,겨울",무거운,"우디,스파이시,파우더리,그린,얼씨",,,,33,*,펜할리곤스,34,,,,,,"파우더리는 부드럽게 퍼지는향이고, 스모키는 말 그대로 연기향",,,,,,,
4,마라케시EDP,남성,캐쥬얼,"가을,겨울",중간,"우디,스파이시,아로마틱,그린,얼씨",,,,34,*,에르메스,35,,,,,,,,,,,,,
4,미라세티EDP,중성,캐쥬얼,"봄,가을,겨울",중간,"앰버,우디,머스크,마린,플로럴",,,,35,*,반클리프앤아펠,36,,특성22,특성23,특성24,특성25,특성26,,,,,,,
4,에레미아EDP,중성,캐쥬얼,"봄,여름,가을",중간,"그린,우디,파우더리,시트러스,얼씨",,,,36,*,히스토리드퍼퓸,37,,라벤더,워터리,너티,메탈릭,프랄린,,,,,,,
4,카르스트EDP,중성,캐쥬얼,"봄,여름",중간,"아로마틱,스파이시,우디,시트러스,그린",,,,37,*,프레드릭엠,38,,목욕탕 스킨같은 냄새,"물향, 습한 향",고소한 견과류향,"쇠향,철봉향",초코 또는 커피향,,,,,,,
5,블랙오키드EDP,중성,포멀,"가을,겨울",무거운,"우디,스파이시,얼씨,앰버,프랄린",,,,38,*,4160튜즈데이,39,,,,,,,,,,,,,
5,느와드느와EDP,중성,포멀,"가을,겨울",무거운,"우디,플로럴,스파이시,얼씨,스모키",,,,39,*,꼼데가르송,40,,***쎈스쟁이와 협업도 생각***,,,,,,,,,,,
5,토바코바닐EDP,남성,포멀,"가을,겨울",무거운,"우디,타바코,바닐라,스파이시,우디",,,,40,*,버버리,41,,,,,,,,,,,,,
5,퍼킹패뷸러스EDP,중성,포멀,"봄,가을,겨울",무거운,"우디,레더,바닐라,앰버,라벤더",,,,41,*,파코라반,42,,한계,,,,,,,,,,,
5,그레이 베티버EDP,남성,캐쥬얼,"봄,여름",중간,"우디,시트러스,얼씨,스파이시,그린",,,,42,*,돌체앤가바나,43,,"일반인들은 향수에 크게 관심이 없고, 자신이 향수의 어떤 특성을 좋아하는지 명확하게 모른다",,,,,,,,,,,
5,투스칸레더EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,레더,프루티,스모키,스파이시",,,,43,*,제르조프,44,,향이 남성이나 중성쪽으로 치우침,,,,,,,,,,,
5,오드우드EDP,남성,포멀,"가을,겨울",무거운,"우디,스파이시,아로마틱,바닐라,앰버",,,,44,*,랑방,45,,설문시 응답자가 써봤던 향수가 데이터 안에 없을 수 있음,,,,,,,,,,,
5,에벤퓨메EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,앰버,스모키,스파이시,아로마틱",,,,45,*,패리스힐튼,46,,"일반적으로 사용하는 대중적인 브랜드의 향수가 아닌 니치향수 계열(호불호 강함, 응답에 부정적인 영향이 있을 수 있음)",,,,,,,,,,,
5,화이트스웨이드EDP,중성,"캐쥬얼,포멀",사계절,중간,"머스크,파우더리,레더,스파이시,플로럴",,,,46,*,입생로랑,47,,"향수는 일반적으로 한번에 좋아지기보다는 시간이 조금 지나고 향에 익숙해지면 좋아지는 경향이 있음(본인 경험, 추천시 정확도에 문제가 될 수 있음)",,,,,,,,,,,
5,솔레이블랑EDP,중성,"캐쥬얼,포멀","봄,여름",중간,"코코넛,플로럴,앰버,바닐라,우디",,,,47,*,지미추,48,,,,,,,,,,,,,
5,로스트체리EDP,여성,"캐쥬얼,포멀","봄,가을,겨울",중간,"프루티,너티,바닐라,부지,앰버",,,,48,*,MDCI,49,,,,,,,,,,,,,
5,체리스모크EDP,여성,"캐쥬얼,포멀","봄,가을,겨울",중간,"우디,프루티,레더,스모키,플로럴",,,,49,*,BDK,50,,26개의 열을 만들어서 나머지는0 해당하는것에는 1,,,,,,,시향지 받아와야할 목록,,,,
6,로디베EDT,여성,캐쥬얼,"봄,가을,겨울",가벼운,"파우더리,머스크,바닐라,앰버,플로럴",,,,50,,로이비,51,,,,,,,,,라임바질앤만다린EDC,,*,,
6,뮤스크라바줴EDP,남성,포멀,"가을,겨울",무거운,"바닐라,스모키,우디,파우더리,스파이시",,,,51,,불리,52,,,,,,,,,벨벳로즈앤오우드EDC,,*,,
6,무슈EDP,남성,포멀,"가을,겨울",무거운,"얼씨,스모키,우디,앰버,파우더리",,,,52,,키엘,53,,,,,,,,,우드세이지앤씨솔트EDC,,*,,
6,로즈토네르EDP,여성,포멀,사계절,가벼운,"로즈,프레쉬,프루티,스파이시,그린",,,,53,,셀린느,54,,,,,,,,,피오니앤블러쉬EDC,,*,,
6,윈플레르드까시EDP,여성,캐쥬얼,"가을,겨울",무거운,"파우더리,플로럴,우디,스파이시,그린",,,,54,,니콜라이,55,,머신러닝,,"베이스 특성, 서브특성 따로만들거나",,,,,발다프리크EDP,,*,,
6,포트레이트오브어레이디EDP,여성,포멀,"가을,겨울",무거운,"스파이시,앰버,스모키,로즈,우디",,,,55,,NCP,56,,그냥 유사도,,유사도,,,,,블랙샤프란EDP,,*,,
6,베티버엑스트라오디너리EDP,남성,포멀,"봄,가을,겨울",무거운,"우디,시트러스,얼씨,스파이시,머스크",,,,56,,에어린,57,,,,,,,,,모하비고스트EDP,,*,,
6,제라늄뿌르무슈EDP,중성,캐쥬얼,"봄,여름,가을",중간,"그린,민트,스파이시,로즈,앰버",,,,57,,마크안토니바로스,58,,,,,,,,,테싯EDP,,*,,
6,프로미스PARFUM,남성,포멀,"가을,겨울",무거운,"프루티,우디,얼씨,앰버,머스크",,,,58,,오리베,59,,,,,,,,,이더시스EDP,,*,,
6,카날플라워EDP,여성,포멀,"가을,겨울",무거운,"플로럴,우디,프레쉬,머스크,프루티",,,,59,,구딸,60,,,,,,,,,마라케시EDP,,*,,
6,언컷젬EDP,남성,캐쥬얼,사계절,중간,"시트러스,앰버,스파이시,머스크,파우더리",,,,60,,아르마니프리베,61,,,,,,,,,블랙오키드EDP,,*,,
6,덩떼브하EDP,여성,캐쥬얼,"봄,가을,겨울",중간,"우디,파우더리,머스크,앰버,플로럴",,,,61,,퍼퓸드엠파이어,62,,,서홍열,,서홍열,,,,느와드느와EDP,,*,,
7,그린리EDP,남성,캐쥬얼,"봄,여름",가벼운,"우디,시트러스,머스크,그린,스파이시",,,,62,*,겔랑,63,,,교육생 김한림,,김한림,,,,토바코바닐EDP,,*,,
7,새들리EDP,남성,캐쥬얼,"봄,여름",가벼운,"시트러스,아로마틱,워터리,우디,라벤더",,,,63,*,루이비통,64,,,교육생 김도형,,김도형,,,,퍼킹패뷸러스EDP,,*,,
7,페가수스EDP,남성,캐쥬얼,"봄,가을,겨울",중간,"바닐라,우디,파우더리,너티,라벤더",,,,64,,조러브스,65,,,교육생 김수진,,김수진,,,,그레이 베티버EDP,,*,,
7,레이튼EDP,남성,캐쥬얼,"봄,가을,겨울",무거운,"스파이시,바닐라,우디,프루티,파우더리",,,,65,,로자,66,,,교육생 장마가,,장마가,,,,투스칸레더EDP,,*,,
7,칼란EDP,중성,포멀,"봄,가을,겨울",무거운,"스파이시,우디,시트러스,플로럴,앰버",,,,66,*,오르몽드제인,67,,,이아름,,이아름,,,,오드우드EDP,,*,,
7,칼라일EDP,남성,포멀,"가을,겨울",무거운,"우디,머스크,바닐라,타바코,프루티",,,,67,,카너바르셀로나,68,,,교육생 어둠의 백작,,,,,,그린리EDP,,*,,
7,고돌핀EDP,중성,포멀,"가을,겨울",중간,"레더,프루티,아로마틱,우디,스모키",,,,68,*,아무아쥬,69,,,교육생 이장국,,이장국,,,,새들리EDP,,*,,시향지 받은 목록
7,헤로드EDP,남성,포멀,"봄,가을,겨울",무거운,"타바코,바닐라,스파이시,앰버,우디",,,,69,,만세라,70,,,교육생 우광원,,우광원,,,,칼란EDP,,*,,
7,페가수스익스클루시브PARFUM,남성,포멀,"가을,겨울",무거운,"우디,바닐라,파우더리,스파이시,너티",,,,70,,몽탈,71,,,교육생 신호림,,신호림,,,,어벤투스EDP,,*,,
7,레이튼익스클루시브PARFUM,남성,포멀,"가을,겨울",무거운,"프루티,우디,스파이시,바닐라,프루티",,,,71,,아뜰리에데조,72,,,교육생 김준수,,김준수,,,,어벤투스포허EDP,,*,,
7,할테인PARFUM,남성,포멀,"가을,겨울",무거운,"플로럴,우디,스파이시,라벤더,레더",,,,72,,클라이브크리스찬,73,,,교육생 신지은,,신지은,,,,브와뒤포르투갈EDP,,*,,
7,퍼시벌EDP,남성,포멀,"봄,여름,가을",중간,"앰버,우디,아로마틱,시트러스,머스크",,,,73,,,,,,교육생 손지현,,손지현,,,,그린아이리쉬트위드EDP,,*,,
7,발라야,여성,"캐쥬얼,포멀","봄,가을,겨울",중간,"시트러스,머스크,플로럴,프레쉬,파우더리",,,,74,,,,,,교육생 하주리,,하주리,,,,밀레지움임페리얼EDP,,*,,
7,사파나드EDP,여성,포멀,사계절,중간,"플로럴,시트러스,바닐라,우디,파우더리",,,,75,*,,,,,교육생 이소정,,이소정,,,,바이킹EDP,,*,,
8,라르브레데라꼬네상스EDP,중성,캐쥬얼,"봄,여름,가을",중간,"그린,우디,프레쉬,얼씨,프루티",,,,76,,,,,,교육생 한수아,,한수아,,,,실버마운틴EDP,,*,,
8,사이키델릭EDP,남성,포멀,"가을,겨울",무거운,"앰버,우디,스파이시,얼씨,머스크",,,,77,,,,,,교직원 이현경,,이현경 선생님,,임도영,,로얄워터EDP,,*,,
8,라르드라게르EDP,중성,캐쥬얼,"봄,가을,겨울",중간,"레더,아로마틱,스파이시,그린,프루티",,,,78,*,,,,,교직원 최송화,,,,,,로얄오우드EDP,,*,,
8,리멤버미EDP,중성,포멀,"봄,가을,겨울",중간,"스파이시,바닐라,시트러스,그린,프레쉬",,,,79,*,,,,,교직원 노혜미,,노혜미 선생님,,,,버진아일랜드워터EDP,,*,,
9,플로로PARFUM,여성,캐쥬얼,"봄,여름,가을",중간,"프루티,우디,프레쉬,파우더리,그린",,,,80,,,,,,교직원 김문환,,김문환 선생님,,,,디올소바쥬EDT,,*,,
9,오리엔토PARFUM,남성,"캐쥬얼,포멀","봄,여름,가을",무거운,"로즈,프루티,우디,스파이시,머스크",,,,81,*,,,,,교육생 석은수.,,석은수,,,,미스디올로즈앤로지스EDP,,*,,
9,오리지노PARFUM,중성,캐쥬얼,"봄,가을",중간,"프레쉬,우디,그린,머스크,파우더리",,,,82,,,,,,예. 직원 박수빈,,박수빈 선생님,,,,샤넬넘버5EDP,,*,,
9,베스페로PARFUM,중성,"캐쥬얼,포멀","봄,여름,가을",무거운,"우디,레더,그린,스파이시,머스크",,,,83,,,,,,김현아,,김현아,,,,맨골드EDP,,*,,
9,우네PARFUM,여성,"캐쥬얼,포멀","봄,여름,가을",중간,"우디,머스크,파우더리,플로럴,프루티",,,,84,*,,,,,류승령,,,,,,맨실버EDP,,*,,
10,쿠이르코라EDP,남성,포멀,"가을,겨울",무거운,"스파이시,앰버,레더,우디,프루티",,,,85,,,,,,교육생 김성훈,,,,,,바카랏루쥬EDP,,*,,
11,사이드이펙트EDP,여성,포멀,"가을,겨울",무거운,"부지,타바코,바닐라,스파이시,우디",,,,86,,,,,,강사 김소현,,김소현강사님,,,,그랑수와EDP,,*,,
11,오우드포그레이트니스EDP,남성,포멀,"가을,겨울",무거운,"스파이시,우디,그린,메탈릭,머스크",,,,87,,,,,,교육생 김상민,,,,,,실크무드PARFUM,,*,,
12,이탈리안레더EDP,남성,포멀,"가을,겨울",무거운,"그린,스파이시,바닐라,레더,앰버",,,,88,,,,,,,,,,,,사틴무드EDP,,*,,
12,일하도멜EDP,여성,캐쥬얼,"봄,여름,가을",중간,"플로럴,그린,프레쉬,스파이시,파우더리",,,,89,,,,,,,,,,,,젠틀플루이디티EDP,,*,,
13,클럽디누잇EDP,남성,포멀,"여름,가을,겨울",무거운,"시트러스,우디,머스크,앰버,스파이시",,,,90,,,,,,,,,,,,상탈33EDP,,*,,
13,클럽디누잇리미티드에디션EDP,남성,포멀,"여름,가을,겨울",무거운,"시트러스,우디,머스크,앰버,스파이시",,,,91,,,,,,,,,,,,떼누아29EDP,,*,,
13,클럽디누잇시아지EDP,남성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,머스크,프레쉬,머스크",,,,92,,,,,,,,,,,,로즈31EDP,,*,,
13,클럽디누잇포우먼EDP,중성,포멀,"가을,겨울",무거운,"우디,플로럴,스파이시,얼씨,스모키",,,,93,,,,,,,,,,,,베티버46EDP,,*,,
14,슈프리머시낫온리인텐스PARFUM,남성,포멀,"여름,가을,겨울",무거운,"시트러스,우디,머스크,앰버,스파이시",,,,94,,,,,,,,,,,,일랑49EDP,,*,,
15,어벤투스EDP,남성,포멀,사계절,중간,"프루티,레더,우디,스모키,머스크",,,,95,*,,,,,,,,,,,어나더13EDP,,*,,
15,어벤투스포허EDP,중성,포멀,사계절,중간,"프루티,우디,시트러스,파우더리,머스크",,,,96,*,,,,,,,,,,,플레르도랑줴27EDP,,*,,
15,브와뒤포르투갈EDP,남성,포멀,"봄,가을,겨울",무거운,"우디,아로마틱,라벤더,파우더리,스파이시",,,,97,*,,,,,,,,,,,리스41EDP,,*,,
15,그린아이리쉬트위드EDP,중성,"캐쥬얼,포멀","봄,여름,가을",가벼운,"시트러스,프레쉬,우디,워터리,그린",,,,98,*,,,,,,,,,,,베르가못22EDP,,*,,
15,밀레지움임페리얼EDP,중성,"캐쥬얼,포멀","봄,여름",중간,"마린,시트러스,프루티,파우더리,우디",,,,99,*,,,,,,,,,,,바카랏루쥬EDP,,*,,
15,바이킹EDP,남성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"아로마틱,우디,시트러스,라벤더,스파이시",,,,100,*,,,,,,,,,,,,,,,
15,실버마운틴EDP,중성,"캐쥬얼,포멀","봄,여름",가벼운,"워터리,그린,프루티,머스크,파우더리",,,,101,*,,,,,,,,,,,,,,,
15,로얄워터EDP,중성,"캐쥬얼,포멀","봄,여름",가벼운,"그린,스파이시,시트러스,아로마틱,프레쉬",,,,102,*,,,,,,,,,,,,,,,
15,로얄오우드EDP,남성,포멀,"가을,겨울",무거운,"우디,아로마틱,머스크,파우더리,스파이시",,,,103,*,,,,,,,,,,,,,,,
15,버진아일랜드워터EDP,중성,"캐쥬얼,포멀","봄,여름",가벼운,"시트러스,코코넛,바닐라,부지,우디",,,,104,*,,,,,,,,,,,,,,,
15,아쿠아피오렌티나EDP,여성,"캐쥬얼,포멀","봄,여름",중간,"시트러스,프루티,우디,프레쉬,그린",,,,105,*,,,,,,,,,,,,,,,
15,러브인화이트포썸머EDP,여성,"캐쥬얼,포멀","봄,여름",중간,"플로럴,시트러스,우디,파우더리,프루티",,,,106,*,,,,,,,,,,,,,,,
16,블랙아프가노PARFUM,남성,포멀,"가을,겨울",무거운,"앰버,스모키,우디,그린,타바코",,,,107,,,,,,,,,,,,,,,,
17,패츌리EDP,남성,포멀,"가을,겨울",무거운,"우디,얼씨,스파이시,그린,스모키",,,,108,,,,,,,,,,,,,,,,
17,프리지아EDT,여성,"캐쥬얼,포멀","봄,여름",가벼운,"플로럴,파우더리,로즈,머스크,프레쉬",,,,109,,,,,,,,,,,,,,,,
18,디올옴므인텐스EDP,남성,포멀,"가을,겨울",무거운,"파우더리,우디,얼씨,플로럴,머스크",,,,110,,,,,,,,,,,,,,,,
18,디올옴므퍼퓸PARFUM,남성,포멀,"가을,겨울",무거운,"파우더리,우디,얼씨,레더,머스크",,,,111,,,,,,,,,,,,,,,,
18,디올소바쥬EDT,남성,포멀,"봄,가을,겨울",무거운,"시트러스,앰버,라벤더,아로마틱,머스크",,,,112,*,,,,,,,,,,,,,,,
18,미스디올로즈앤로지스EDP,여성,"캐쥬얼,포멀","봄,여름,가을",가벼운,"로즈,시트러스,머스크,플로럴,파우더리",,,,113,*,,,,,,,,,,,,,,,
18,소바쥬EDP,남성,포멀,사계절,무거운,"프레쉬,시트러스,앰버,머스크,라벤더",,,,114,*,,,,,,,,,,,,,,,
18,블루밍부케EDP,여성,"캐쥬얼,포멀","봄,여름",가벼운,"플로럴,로즈,프레쉬,프루티,머스크",,,,115,*,,,,,,,,,,,,,,,
18,소바쥬엘릭서EDP,남성,포멀,"봄,가을,겨울",무거운,"스파이시,우디,아로마틱,라벤더,파우더리",,,,116,*,,,,,,,,,,,,,,,
19,샤넬넘버5EDP,여성,포멀,"가을,겨울",무거운,"우디,프레쉬,플로럴,파우더리,얼씨",,,,117,*,,,,,,,,,,,,,,,
19,블루드샤넬EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,아로마틱,앰버,시트러스,스파이시",,,,118,,,,,,,,,,,,,,,,
19,알뤼르옴므EDT,남성,캐쥬얼,사계절,중간,"아로마틱,우디,시트러스,바닐라,프레쉬",,,,119,,,,,,,,,,,,,,,,
19,코코마드모아젤로프리베EDP,여성,"캐쥬얼,포멀",사계절,중간,"시트러스,로즈,머스크,플로럴,파우더리",,,,120,,,,,,,,,,,,,,,,
19,샹스EDP,여성,"캐쥬얼,포멀","봄,여름",가벼운,"로즈,시트러스,프루티,머스크,플로럴",,,,121,*,,,,,,,,,,,,,,,
19,넘버5로EDP,여성,포멀,"봄,여름,가을",중간,"시트러스,프레쉬,우디,플로럴,파우더리",,,,122,*,,,,,,,,,,,,,,,
19,로루쥬EDP,여성,캐쥬얼,"봄,여름,가을",가벼운,"로즈,머스크,프루티,파우더리,시트러스",,,,123,*,,,,,,,,,,,,,,,
19,코코느와르EDP,여성,포멀,"가을,겨울",무거운,"스파이시,우디,시트러스,앰버,바닐라",,,,124,*,,,,,,,,,,,,,,,
19,베니스EDP,여성,포멀,"봄,여름",가벼운,"시트러스,파우더리,플로럴,바닐라,머스크",,,,125,*,,,,,,,,,,,,,,,
19,알뤼르옴므EDP,남성,포멀,"봄,여름,가을",무거운,"아로마틱,우디,바닐라,그린,프레쉬",,,,126,*,,,,,,,,,,,,,,,
20,서울신사동EDP,중성,"캐쥬얼,포멀",사계절,중간,"프루티,시트러스,아로마틱,프레쉬,우디",,,,127,,,,,,,,,,,,,,,,
20,타바코리치웜EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"코코넛,우디,부지,타바코,바닐라",,,,128,,,,,,,,,,,,,,,,
20,맨골드EDP,남성,포멀,"봄,가을,겨울",무거운,"스파이시,시트러스,우디,앰버,머스크",,,,129,*,,,,,,,,,,,,,,,
20,맨실버EDP,남성,포멀,"가을,겨울",중간,"시트러스,마린,우디,스파이시,아로마틱",,,,130,*,,,,,,,,,,,,,,,
20,베티버 팜플무스EDP,중성,캐쥬얼,"봄,여름",중간,"시트러스,아로마틱,우디,스파이시,그린",,,,131,,,,,,,,,,,,,,,,
20,튜베로즈느와EDP,여성,캐쥬얼,"봄,가을,겨울",중간,"플로럴,우디,그린,프레쉬,파우더리",,,,132,,,,,,,,,,,,,,,,
20,아말피선레이EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,플로럴,얼씨,프레쉬",,,,133,,,,,,,,,,,,,,,,
20,핑크플람베EDP,여성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,머스크,파우더리,앰버",,,,134,,,,,,,,,,,,,,,,
21,헤르만EDP,중성,캐쥬얼,"봄,여름,가을",무거운,"로즈,머스크,우디,앰버,워터리",,,,135,,,,,,,,,,,,,,,,
21,유오어썸원라이크유EDP,중성,캐쥬얼,"봄,여름",가벼운,"민트,그린,아로마틱,시트러스,프레쉬",,,,136,,,,,,,,,,,,,,,,
