브랜드,이름,성별,TPO,계절감,향의농도,특성,,,,0,시향지 받은 목록,딥디크,1,,,성별,,,,,,,,,,
21,고스트인더쉘EDP,중성,캐쥬얼,"봄,여름,가을",가벼운,"머스크,마린,우디,플로럴,프레쉬",,,,137,,,,,,,,,,,,,,,,
22,토이보이EDP,중성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"로즈,플로럴,머스크,우디,프레쉬",,,,138,,,,,,,,,,,,,,,,
23,러브어페어EDP,중성,포멀,"봄,가을,겨울",무거운,"플로럴,파우더리,머스크,우디,바닐라",,,,139,,,,,,,,,,,,,,,,
23,호세EDP,중성,"캐쥬얼,포멀","가을,겨울",중간,"스파이시,우디,라벤더,프랄린,아로마틱",,,,140,*,,,,,,,,,,,,,,,
24,바이더파이어플레이스EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,스파이시,바닐라,파우더리,너티",,,,141,,,,,,,,,,,,,,,,
24,재즈클럽EDP,남성,포멀,"가을,겨울",무거운,"부지,우디,바닐라,파우더리,스모키",,,,142,,,,,,,,,,,,,,,,
24,소울오브더포레스트EDP,중성,포멀,"봄,가을,겨울",무거운,"우디,앰버,스파이시,그린,프레쉬",,,,143,,,,,,,,,,,,,,,,
24,위스퍼스인더라이브러리EDP,중성,캐쥬얼,"가을,겨울",중간,"우디,바닐라,그린,스파이시,파우더리",,,,144,,,,,,,,,,,,,,,,
25,티토니크EDP,중성,캐쥬얼,"봄,여름",가벼운,"우디,아로마틱,민트,그린,프레쉬",,,,145,,,,,,,,,,,,,,,,
26,오우드EDP,중성,포멀,"가을,겨울",무거운,"우디,시트러스,레더,아로마틱,머스크",,,,146,,,,,,,,,,,,,,,,
26,산달로EDP,중성,캐쥬얼,"봄,가을,겨울",중간,"시트러스,아로마틱,우디,스파이시,라벤더",,,,147,*,,,,,,,,,,,,,,,
26,미르토EDT,중성,"캐쥬얼,포멀","봄,여름",가벼운,"아로마틱,프레쉬,시트러스,마린,우디",,,,148,*,,,,,,,,,,,,,,,
26,콜로니아클럽EDC,중성,"캐쥬얼,포멀","봄,여름",중간,"아로마틱,그린,시트러스,프레쉬,라벤더",,,,149,*,,,,,,,,,,,,,,,
27,블랙인센스말라키EDP,남성,포멀,"가을,겨울",무거운,"앰버,스모키,우디,레더,스파이시",,,,150,,,,,,,,,,,,,,,,
27,오드말라키EDP,남성,포멀,"봄,가을,겨울",무거운,"타바코,우디,스파이시,레더,앰버",,,,151,,,,,,,,,,,,,,,,
27,네롤리아라카다멈드콰테말라EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,플로럴,아로마틱,프레쉬,그린",,,,152,*,,,,,,,,,,,,,,,
28,상탈33EDP,중성,캐쥬얼,"봄,가을,겨울",무거운,"우디,파우더리,레더,스파이시,플로럴",,,,153,*,,,,,,,,,,,,,,,
28,떼누아29EDP,중성,캐쥬얼,"봄,가을,겨울",무거운,"우디,프루티,아로마틱,타바코,파우더리",,,,154,*,,,,,,,,,,,,,,,
28,로즈31EDP,중성,캐쥬얼,사계절,중간,"우디,로즈,스파이시,아로마틱,머스크",,,,155,*,,,,,,,,,,,,,,,
28,베티버46EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,앰버,아로마틱,스파이시,얼씨",,,,156,*,,,,,,,,,,,,,,,
28,일랑49EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,얼씨,플로럴,스파이시,아로마틱",,,,157,*,,,,,,,,,,,,,,,
28,어나더13EDP,중성,캐쥬얼,사계절,중간,"머스크,앰버,우디,파우더리,플로럴",,,,158,*,,,,,,,,,,,,,,,
28,플레르도랑줴27EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,플로럴,아로마틱,프레쉬,스파이시",,,,159,*,,,,,,,,,,,,,,,
28,리스41EDP,여성,"캐쥬얼,포멀","봄,여름",중간,"플로럴,바닐라,그린,머스크,우디",,,,160,*,,,,,,,,,,,,,,,
28,베르가못22EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,아로마틱,우디,프레쉬,플로럴",,,,161,,,,,,,,,,,,,,,,
28,가이악10EDP,여성,캐쥬얼,"봄,가을,겨울",가벼운,"우디,머스크,파우더리,앰버,스모키",,,,162,,,,,,,,,,,,,,,,
28,타박28EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,타바코,스파이시,부지,아로마틱",,,,163,*,,,,,,,,,,,,,,,
28,암브레트9EDP,여성,캐쥬얼,"봄,여름,가을",가벼운,"머스크,프루티,플로럴,프레쉬,파우더리",,,,164,*,,,,,,,,,,,,,,,
28,자스민17EDP,여성,"캐쥬얼,포멀","봄,여름",중간,"플로럴,시트러스,프레쉬,그린,파우더리",,,,165,*,,,,,,,,,,,,,,,
28,패츌리24EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"레더,우디,스모키,앰버,바닐라",,,,166,*,,,,,,,,,,,,,,,
29,오리온PARFUM,중성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"프루티,우디,스모키,레더,앰버",,,,167,,,,,,,,,,,,,,,,
29,네로오우드PARFUM,중성,포멀,"가을,겨울",무거운,"우디,스파이시,얼씨,로즈,메탈릭",,,,168,,,,,,,,,,,,,,,,
29,라우다노네로PARFUM,남성,포멀,"가을,겨울",무거운,"우디,앰버,스모키,스파이시,타바코",,,,169,*,,,,,,,,,,,,,,,
30,바카랏루쥬EDP,여성,포멀,"봄,가을,겨울",무거운,"우디,앰버,스파이시,메탈릭,플로럴",,,,170,*,,,,,,,,,,,,,,,
30,그랑수와EDP,중성,포멀,"가을,겨울",무거운,"앰버,바닐라,너티,플로럴,라벤더",,,,171,*,,,,,,,,,,,,,,,
30,실크무드PARFUM,중성,포멀,"가을,겨울",무거운,"로즈,우디,플로럴,그린,스파이시",,,,172,*,,,,,,,,,,,,,,,
30,사틴무드EDP,중성,포멀,"가을,겨울",무거운,"바닐라,로즈,우디,파우더리,앰버",,,,173,*,,,,,,,,,,,,,,,
30,젠틀플루이디티EDP,중성,포멀,"봄,가을,겨울",무거운,"바닐라,파우더리,앰버,우디,머스크",,,,174,,,,,,,,,,,,,,,,
31,히비스커스마하자드PARFUM,여성,포멀,사계절,무거운,"플로럴,로즈,바닐라,머스크,레더",,,,175,,,,,,,,,,,,,,,,
31,상탈볼캐니크EDP,남성,캐쥬얼,"가을,겨울",무거운,"스파이시,우디,파우더리,시트러스,아로마틱",,,,176,,,,,,,,,,,,,,,,
31,로즈살티폴리아EDP,여성,캐쥬얼,"봄,여름",가벼운,"마린,로즈,아로마틱,워터리,머스크",,,,177,,,,,,,,,,,,,,,,
31,압셍트보레알EDP,중성,"캐쥬얼,포멀","봄,여름,가을",중간,"아로마틱,프레쉬,우디,라벤더,부지",,,,178,*,,,,,,,,,,,,,,,
31,리스솔라베르그EDP,여성,"캐쥬얼,포멀","봄,가을,겨울",중간,"우디,프루티,파우더리,앰버,머스크",,,,179,,,,,,,,,,,,,,,,
32,블랙팬텀EDP,남성,포멀,"가을,겨울",무거운,"스파이시,부지,우디,프랄린,너티",,,,180,,,,,,,,,,,,,,,,
32,엔젤스쉐어EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,스파이시,바닐라,앰버,파우더리",,,,181,,,,,,,,,,,,,,,,
32,굿걸곤배드,여성,"캐쥬얼,포멀","봄,여름,가을",가벼운,"플로럴,프루티,그린,로즈,앰버",,,,182,,,,,,,,,,,,,,,,
32,러브돈비샤이,여성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"플로럴,바닐라,너티,파우더리,머스크",,,,183,,,,,,,,,,,,,,,,
32,스트레이트투헤븐,남성,포멀,"가을,겨울",무거운,"우디,얼씨,부지,스파이시,파우더리",,,,184,,,,,,,,,,,,,,,,
32,포비든게임즈,여성,"캐쥬얼,포멀","봄,여름",중간,"프루티,로즈,바닐라,프레쉬,플로럴",,,,185,,,,,,,,,,,,,,,,
32,플라워오브이모탈리티,여성,"캐쥬얼,포멀","봄,여름,가을",중간,"프루티,파우더리,플로럴,로즈,바닐라",,,,186,,,,,,,,,,,,,,,,
32,우먼인골드,여성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"바닐라,시트러스,로즈,우디,플로럴",,,,187,,,,,,,,,,,,,,,,
32,불레이부쿠셔아베끄모아,여성,"캐쥬얼,포멀","봄,가을,겨울",중간,"플로럴,우디,바닐라,로즈,파우더리",,,,188,,,,,,,,,,,,,,,,
33,앙크르느와익스트림EDP,중성,"캐쥬얼,포멀",사계절,무거운,"우디,아로마틱,앰버,스모키,얼씨",,,,189,,,,,,,,,,,,,,,,
34,루나EDP,여성,"캐쥬얼,포멀",사계절,가벼운,"시트러스,아로마틱,스파이시,로즈,우디",,,,190,,,,,,,,,,,,,,,,
34,할페티EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,스파이시,아로마틱,레더,파우더리",,,,191,,,,,,,,,,,,,,,,
35,떼르데르메스오인텐스베티버EDP,남성,"캐쥬얼,포멀",사계절,중간,"시트러스,아로마틱,스파이시,우디,얼씨",,,,192,,,,,,,,,,,,,,,,
35,보야지EDT,남성,"캐쥬얼,포멀",사계절,중간,"스파이시,시트러스,그린,아로마틱,우디",,,,193,*,,,,,,,,,,,,,,,
36,상탈블랑EDP,중성,"캐쥬얼,포멀",사계절,가벼운,"우디,파우더리,프루티,머스크,바닐라",,,,194,,,,,,,,,,,,,,,,
37,카사노바EDP,남성,"캐쥬얼,포멀","봄,가을",중간,"스파이시,라벤더,우디,바닐라,파우더리",,,,195,,,,,,,,,,,,,,,,
38,오베드상EDP,여성,"캐쥬얼,포멀",사계절,가벼운,"프루티,머스크,우디,앰버,파우더리",,,,196,,,,,,,,,,,,,,,,
39,왓아이디드온마이홀리데이EDP,중성,캐쥬얼,"봄,여름",가벼운,"바닐라,아로마틱,코코넛,그린,마린",,,,197,,,,,,,,,,,,,,,,
40,마르세유EDP,중성,캐쥬얼,"봄,여름,가을",중간,"머스크,플로럴,파우더리,시트러스,프레쉬",,,,198,,,,,,,,,,,,,,,,
40,인센스 교토EDP,남성,포멀,"가을,겨울",무거운,"우디,아로마틱,앰버,스모키,스파이시",,,,199,,,,,,,,,,,,,,,,
40,히노키EDP,남성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"우디,아로마틱,프레쉬,스파이시,스모키",,,,200,,,,,,,,,,,,,,,,
40,블루 상탈EDP,남성,"캐쥬얼,포멀",사계절,중간,"우디,아로마틱,스파이시,파우더리,그린",,,,201,,,,,,,,,,,,,,,,
41,터치 포맨EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,머스크,워터리,아로마틱,파우더리",,,,202,,,,,,,,,,,,,,,,
42,파코라반 울트라 바이올렛EDP,남성,포멀,"가을,겨울",무거운,"플로럴,파우더리,스파이시,우디,프레쉬",,,,203,,,,,,,,,,,,,,,,
43,라이트블루EDT,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,프레쉬,프루티,머스크",,,,204,,,,,,,,,,,,,,,,
44,알렉산드리아2EDP,중성,포멀,"가을,겨울",무거운,"우디,앰버,파우더리,스파이시,바닐라",,,,205,,,,,,,,,,,,,,,,
44,낙소스EDP,중성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"바닐라,타바코,라벤더,시트러스,스파이시",,,,206,,,,,,,,,,,,,,,,
44,아폴로니아EDP,중성,"캐쥬얼,포멀",사계절,중간,"파우더리,머스크,플로럴,얼씨,프레쉬",,,,207,,,,,,,,,,,,,,,,
44,니오EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,그린,아로마틱,우디,플로럴",,,,208,,,,,,,,,,,,,,,,
44,에르바퓨라EDP,중성,캐쥬얼,"봄,여름",가벼운,"프루티,시트러스,머스크,파우더리,바닐라",,,,209,,,,,,,,,,,,,,,,
45,메리미EDT,여성,캐쥬얼,"봄,여름",가벼운,"플로럴,시트러스,프루티,로즈,프레쉬",,,,210,,,,,,,,,,,,,,,,
45,잔느EDT,여성,캐쥬얼,"봄,여름",가벼운,"프루티,로즈,플로럴,프레쉬,머스크",,,,211,,,,,,,,,,,,,,,,
46,에어리스EDT,여성,캐쥬얼,"봄,여름",가벼운,"프루티,시트러스,프레쉬,플로럴,부지",,,,212,,,,,,,,,,,,,,,,
46,데즐EDT,여성,캐쥬얼,"봄,여름",가벼운,"프루티,바닐라,파우더리,너티,부지",,,,213,,,,,,,,,,,,,,,,
47,리브르EDT,여성,"캐쥬얼,포멀","봄,여름,가을",가벼운,"플로럴,시트러스,머스크,프레쉬,바닐라",,,,214,,,,,,,,,,,,,,,,
47,몽파리팜므EDP,여성,"캐쥬얼,포멀","봄,여름",가벼운,"프루티,프레쉬,플로럴,시트러스,우디",,,,215,,,,,,,,,,,,,,,,
47,와이EDP,남성,"캐쥬얼,포멀",사계절,무거운,"아로마틱,프레쉬,앰버,우디,라벤더",,,,216,*,,,,,,,,,,,,,,,*
47,리브르EDP,여성,포멀,"가을,겨울",무거운,"바닐라,플로럴,라벤더,시트러스,아로마틱",,,,217,*,,,,,,,,,,,,,,,*
48,블로썸EDP,여성,"캐쥬얼,포멀","봄,여름",가벼운,"프루티,로즈,플로럴,프레쉬,시트러스",,,,218,,,,,,,,,,,,,,,,*
48,로팜므EDT,여성,"캐쥬얼,포멀","봄,여름",가벼운,"시트러스,플로럴,프루티,머스크,우디",,,,219,*,,,,,,,,,,,,,,,*
49,퀴르카발리에EDP,중성,포멀,"가을,겨울",무거운,"레더,로즈,얼씨,우디,메탈릭",,,,220,,,,,,,,,,,,,,,,*
50,타박로즈EDP,중성,포멀,"가을,겨울",무거운,"프루티,로즈,스파이시,타바코,프랄린",,,,221,,,,,,,,,,,,,,,,*
50,그리사르넬엑스트레PARFUM,중성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,스파이시,바닐라,파우더리,얼씨",,,,222,,,,,,,,,,,,,,,,*
50,시트러스리비에라EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,플로럴,아로마틱,프레쉬,워터리",,,,223,,,,,,,,,,,,,,,,*
50,우드자스민EDP,중성,포멀,"가을,겨울",무거운,"앰버,프루티,우디,스모키,프루티",,,,224,,,,,,,,,,,,,,,,*
50,그리사르넬EDP,중성,"캐쥬얼,포멀","봄,가을,겨울",중간,"우디,스파이시,아로마틱,파우더리,프루티",,,,225,,,,,,,,,,,,,,,,
50,빠스수아EDP,중성,"캐쥬얼,포멀",사계절,중간,"플로럴,우디,프루티,시트러스,앰버",,,,226,,,,,,,,,,,,,,,,
50,튜베로즈임페리얼EDP,여성,포멀,"봄,가을,겨울",무거운,"플로럴,우디,바닐라,파우더리,앰버",,,,227,,,,,,,,,,,,,,,,
50,셀다르장EDP,중성,캐쥬얼,"봄,여름",가벼운,"머스크,앰버,우디,마린,파우더리",,,,228,,,,,,,,,,,,,,,,
51,만다린앤샐달우드EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,아로마틱,프레쉬,우디,앰버",,,,229,*,,,,,,,,,,,,,,,*
52,리켄데코스EDC,중성,"캐쥬얼,포멀","봄,여름,가을",중간,"그린,얼씨,프레쉬,우디,워터리",,,,230,*,,,,,,,,,,,,,,,
52,페루헬리오트로프EDC,여성,"캐쥬얼,포멀","봄,가을,겨울",중간,"파우더리,바닐라,플로럴,우디,너티",,,,231,*,,,,,,,,,,,,,,,
52,다마스크로즈EDC,여성,"캐쥬얼,포멀","봄,여름",중간,"로즈,우디,스파이시,아로마틱,얼씨",,,,232,*,,,,,,,,,,,,,,,
53,오리지널머스크EDT,중성,"캐쥬얼,포멀","봄,가을,겨울",중간,"머스크,플로럴,파우더리,시트러스,우디",,,,233,*,,,,,,,,,,,,,,,
54,블랙타이EDP,중성,포멀,"봄,가을,겨울",중간,"파우더리,바닐라,우디,얼씨,머스크",,,,234,*,,,,,,,,,,,,,,,
54,나이트클러빙EDP,중성,포멀,"가을,겨울",무거운,"파우더리,그린,얼씨,바닐라,머스크",,,,235,*,,,,,,,,,,,,,,,
54,생제르망데프레EDP,중성,캐쥬얼,"봄,여름",가벼운,"파우더리,시트러스,바닐라,플로럴,그린",,,,236,*,,,,,,,,,,,,,,,
54,브와도르망EDP,중성,캐쥬얼,"가을,겨울",중간,"우디,플로럴,파우더리,아로마틱,얼씨",,,,237,*,,,,,,,,,,,,,,,
55,엔젤리스페어EDT,여성,포멀,"봄,여름",중간,"프루티,시트러스,그린,프레쉬,플로럴",,,,238,*,,,,,,,,,,,,,,,
56,머스크앰버EDP,중성,포멀,사계절,중간,"바닐라,플로럴,머스크,프레쉬,파우더리",,,,239,,,,,,,,,,,,,,,,
57,메디테라니안허니서클EDP,여성,"캐쥬얼,포멀","봄,여름",중간,"플로럴,시트러스,프루티,그린,스파이시",,,,240,*,,,,,,,,,,,,,,,
58,엔셀레이드EDP,중성,"캐쥬얼,포멀",사계절,무거운,"우디,아로마틱,그린,얼씨,프루티",,,,241,*,,,,,,,,,,,,,,,
59,밸리오브플라워스EDP,여성,"캐쥬얼,포멀","봄,가을,겨울",가벼운,"로즈,플로럴,파우더리,프레쉬,우디",,,,242,*,,,,,,,,,,,,,,,
59,데저트랜드EDP,중성,"캐쥬얼,포멀","봄,가을,겨울",중간,"우디,아로마틱,라벤더,파우더리,그린",,,,243,*,,,,,,,,,,,,,,,
59,코드다쥐르EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,아로마틱,프루티,플로럴",,,,244,*,,,,,,,,,,,,,,,
60,르쉐브르페이유EDT,여성,"캐쥬얼,포멀","봄,여름",중간,"플로럴,시트러스,그린,아로마틱,프루티",,,,245,*,,,,,,,,,,,,,,,
60,르떵데헤브EDT,여성,"캐쥬얼,포멀","봄,여름",중간,"플로럴,시트러스,아로마틱,우디,프레쉬",,,,246,*,,,,,,,,,,,,,,,
60,엉마뗑도하쥬EDT,여성,"캐쥬얼,포멀","봄,여름",중간,"플로럴,그린,시트러스,스파이시,우디",,,,247,*,,,,,,,,,,,,,,,
61,베티베디베EDP,중성,캐쥬얼,"봄,여름",중간,"시트러스,아로마틱,우디,얼씨,스파이시",,,,248,*,,,,,,,,,,,,,,,
61,시프레판틸레리아EDP,중성,"캐쥬얼,포멀","봄,여름",중간,"우디,아로마틱,시트러스,워터리,얼씨",,,,249,*,,,,,,,,,,,,,,,
61,떼울롱EDP,중성,"캐쥬얼,포멀","봄,여름",중간,"시트러스,그린,플로럴,아로마틱,우디",,,,250,*,,,,,,,,,,,,,,,
61,상탈단샤EDP,중성,"캐쥬얼,포멀",사계절,중간,"우디,아로마틱,스파이시,파우더리,시트러스",,,,251,*,,,,,,,,,,,,,,,
61,앙브르이첸트리코EDP,중성,포멀,"가을,겨울",무거운,"앰버,프루티,스파이시,바닐라,우디",,,,252,*,,,,,,,,,,,,,,,
61,퀴르아메시스트EDP,중성,포멀,"가을,겨울",무거운,"앰버,우디,플로럴,레더,파우더리",,,,253,*,,,,,,,,,,,,,,,
61,오드로얄EDP,중성,포멀,"가을,겨울",무거운,"앰버,스파이시,우디,스모키,파우더리",,,,254,*,,,,,,,,,,,,,,,
61,퀴르제르주라EDP,중성,포멀,"봄,가을,겨울",무거운,"파우더리,레더,우디,바닐라,플로럴",,,,255,*,,,,,,,,,,,,,,,
61,로즈디아라비EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"로즈,우디,얼씨,플로럴,바닐라",,,,256,*,,,,,,,,,,,,,,,
61,사블누잇EDP,중성,포멀,"가을,겨울",무거운,"앰버,우디,스파이시,바닐라,머스크",,,,257,*,,,,,,,,,,,,,,,
61,퀴르느와EDP,중성,포멀,"가을,겨울",무거운,"우디,바닐라,앰버,레더,파우더리",,,,258,*,,,,,,,,,,,,,,,
61,머스크샤말EDP,중성,캐쥬얼,"봄,가을,겨울",가벼운,"머스크,파우더리,프레쉬,바닐라,앰버",,,,259,*,,,,,,,,,,,,,,,
62,코르시카퓨리오사EDP,여성,캐쥬얼,"봄,여름",중간,"그린,아로마틱,스파이시,프레쉬,시트러스",,,,260,*,,,,,,,,,,,,,,,
63,오드누드EDP,여성,포멀,"봄,가을,겨울",중간,"프루티,너티,바닐라,우디,파우더리",,,,261,*,,,,,,,,,,,,,,,
63,아쿠아만다린바질릭,여성,캐쥬얼,"봄,여름",가벼운,"시트러스,그린,아로마틱,프레쉬,스파이시",,,,262,*,,,,,,,,,,,,,,,
63,아쿠아네롤리베티버,여성,캐쥬얼,"봄,여름",가벼운,"아로마틱,그린,우디,시트러스,프레쉬",,,,263,*,,,,,,,,,,,,,,,
64,누보몽드EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"스파이시,레더,우디,프랄린,앰버",,,,264,*,,,,,,,,,,,,,,,
65,망고타이라임EDP,중성,캐쥬얼,"봄,여름",가벼운,"아로마틱,시트러스,프루티,그린,우디",,,,265,*,,,,,,,,,,,,,,,
65,조바이조러브스EDP,중성,"캐쥬얼,포멀","봄,여름",중간,"시트러스,아로마틱,그린,프레쉬,우디",,,,266,*,,,,,,,,,,,,,,,
65,로즈페탈EDP,여성,"캐쥬얼,포멀","봄,여름",중간,"로즈,플로럴,머스크,앰버,프레쉬",,,,267,*,,,,,,,,,,,,,,,
65,포멜로EDP,여성,"캐쥬얼,포멀","봄,여름",중간,"시트러스,우디,아로마틱,얼씨,레더",,,,268,*,,,,,,,,,,,,,,,
65,골든가드니아EDP,여성,"캐쥬얼,포멀","봄,여름",중간,"스파이시,우디,플로럴,머스크,프레쉬",,,,269,*,,,,,,,,,,,,,,,
65,스모크드플럼앤레더EDP,남성,"캐쥬얼,포멀","가을,겨울",무거운,"스모키,레더,프루티,부지,우디",,,,270,*,,,,,,,,,,,,,,,
65,샤드오브시더앤레드타임EDP,여성,"캐쥬얼,포멀","봄,가을,겨울",중간,"우디,아로마틱,스파이시,프레쉬,그린",,,,271,*,,,,,,,,,,,,,,,
66,에이펙스EDP,남성,포멀,사계절,무거운,"우디,아로마틱,앰버,시트러스,머스크",,,,272,*,,,,,,,,,,,,,,,
67,르방EDP,여성,"캐쥬얼,포멀","봄,여름",가벼운,"시트러스,플로럴,프레쉬,로즈,머스크",,,,273,*,,,,,,,,,,,,,,,
68,락스타EDP,중성,캐쥬얼,"봄,여름",가벼운,"플로럴,마린,시트러스,앰버,프레쉬",,,,274,*,,,,,,,,,,,,,,,
68,보보EDP,여성,캐쥬얼,"봄,여름",가벼운,"시트러스,플로럴,프루티,머스크,그린",,,,275,*,,,,,,,,,,,,,,,
68,라틴러버EDP,중성,캐쥬얼,"봄,여름",무거운,"플로럴,시트러스,파우더리,그린,머스크",,,,276,*,,,,,,,,,,,,,,,
69,메테리얼맨EDP,남성,포멀,"가을,겨울",무거운,"앰버,바닐라,우디,아로마틱,스모키",,,,277,*,,,,,,,,,,,,,,,
69,시엘우먼EDP,여성,"캐쥬얼,포멀","봄,여름",가벼운,"플로럴,워터리,프레쉬,파우더리,머스크",,,,278,*,,,,,,,,,,,,,,,
69,메모아맨EDP,남성,포멀,"봄,가을,겨울",무거운,"아로마틱,프레쉬,우디,앰버,그린",,,,279,*,,,,,,,,,,,,,,,
69,디아우먼EDP,여성,"캐쥬얼,포멀",사계절,중간,"프레쉬,플로럴,파우더리,로즈,우디",,,,280,*,,,,,,,,,,,,,,,
69,리플렉션우먼EDP,여성,"캐쥬얼,포멀","봄,여름",중간,"플로럴,그린,파우더리,우디,앰버",,,,281,*,,,,,,,,,,,,,,,
69,골드우먼EDP,여성,"캐쥬얼,포멀","가을,겨울",중간,"앰버,플로럴,파우더리,머스크,우디",,,,282,*,,,,,,,,,,,,,,,
69,오버츄어맨EDP,남성,포멀,"가을,겨울",무거운,"스파이시,앰버,우디,스모키,레더",,,,283,*,,,,,,,,,,,,,,,
69,리플렉션맨EDP,남성,"캐쥬얼,포멀","봄,여름,가을",중간,"우디,플로럴,아로마틱,파우더리,얼씨",,,,284,*,,,,,,,,,,,,,,,
69,골드맨EDP,남성,캐쥬얼,"봄,가을,겨울",중간,"머스크,앰버,플로럴,파우더리,우디",,,,285,*,,,,,,,,,,,,,,,
69,이미테이션맨EDP,남성,"캐쥬얼,포멀","봄,가을,겨울",중간,"레더,파우더리,우디,로즈,플로럴",,,,286,*,,,,,,,,,,,,,,,
70,머스키가든EDP,여성,"캐쥬얼,포멀","봄,여름,가을",중간,"프루티,머스크,파우더리,로즈,시트러스",,,,287,*,,,,,,,,,,,,,,,
70,자르당익스클루시브EDP,여성,"캐쥬얼,포멀","봄,가을,겨울",중간,"프루티,파우더리,머스크,시트러스,프레쉬",,,,288,*,,,,,,,,,,,,,,,
70,와일드체리EDP,여성,포멀,"봄,가을,겨울",무거운,"프루티,파우더리,바닐라,플로럴,얼씨",,,,289,*,,,,,,,,,,,,,,,
71,인텐스카페EDP,중성,"캐쥬얼,포멀","가을,겨울",중간,"로즈,바닐라,프랄린,플로럴,파우더리",,,,290,*,,,,,,,,,,,,,,,
71,블루마차EDP,중성,캐쥬얼,"봄,여름",가벼운,"파우더리,우디,시트러스,그린,프루티",,,,291,*,,,,,,,,,,,,,,,
72,아이리스포브EDP,중성,포멀,"가을,겨울",무거운,"앰버,우디,스파이시,얼씨,파우더리",,,,292,*,,,,,,,,,,,,,,,
72,느와바이나잇EDP,여성,"캐쥬얼,포멀","가을,겨울",무거운,"우디,앰버,아로마틱,스모키,너티",,,,293,*,,,,,,,,,,,,,,,
72,머스크이모텔EDP,중성,"캐쥬얼,포멀","가을,겨울",무거운,"머스크,우디,얼씨,아로마틱,파우더리",,,,294,*,,,,,,,,,,,,,,,
73,VEDP,남성,포멀,"봄,가을,겨울",무거운,"스파이시,앰버,우디,아로마틱,얼씨",,,,295,*,,,,,,,,,,,,,,,
73,LEDP,남성,포멀,"봄,가을,겨울",무거운,"우디,아로마틱,시트러스,그린,프레쉬",,,,296,*,,,,,,,,,,,,,,,