성별,시점,0-4세,5-9세,10-14세,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,50-54세,55-59세,60-64세,65-69세,70-74세,75-79세,80-84세,85세이상,연령미상
0,2011,0,0,1,2,3,5,7,19,79,132,238,337,416,463,473,392,180,115,0
0,2012,0,0,1,1,1,3,12,35,69,117,232,350,401,475,554,430,215,104,0
0,2013,0,0,1,0,1,5,12,20,69,130,261,361,401,437,589,374,229,128,0
0,2014,0,0,1,1,3,5,9,30,78,128,284,354,450,453,567,496,249,137,0
0,2015,0,0,2,1,1,4,21,23,61,139,248,398,466,548,594,450,286,156,0
0,2016,1,0,1,1,3,5,15,30,66,127,277,429,481,522,567,479,295,135,0
0,2017,0,0,1,0,3,4,17,38,77,140,262,453,526,577,586,596,344,155,0
0,2018,2,0,3,2,5,6,9,38,67,140,218,519,597,588,604,628,414,219,0
0,2019,1,0,3,2,0,9,14,41,65,151,265,485,600,634,637,626,412,233,0
0,2020,1,0,3,5,4,4,17,28,65,161,227,442,679,650,642,680,487,229,0
1,2011,0,0,2,3,1,6,7,24,37,67,147,183,214,322,369,411,322,205,0
1,2012,0,0,3,1,5,4,7,14,47,85,169,186,230,347,460,388,313,259,0
1,2013,0,1,1,3,3,6,10,21,49,72,142,200,250,301,474,432,351,258,0
1,2014,0,0,1,3,4,6,9,18,51,79,145,237,238,340,465,535,409,266,0
1,2015,0,0,4,4,6,6,15,16,44,75,159,269,283,413,436,534,430,327,0
1,2016,0,1,3,9,7,7,20,28,38,95,153,264,334,363,524,599,498,394,0
1,2017,0,3,10,5,9,13,16,28,58,93,130,267,319,389,498,644,492,397,0
1,2018,0,2,4,6,13,19,16,43,52,101,152,296,407,422,479,668,519,437,0
1,2019,0,1,2,10,14,15,21,34,53,90,169,323,435,477,542,689,606,495,0
1,2020,2,0,6,6,14,20,24,34,52,94,154,312,468,512,570,669,629,524,0